x,y,z
2500,2500,0
2499.99,2496.24,1
2499.98,2493.25,2
2499.97,2490.63,3
2499.96,2488.26,4
2499.94,2486.05,5
2499.92,2483.96,6
2499.9,2481.98,7
2499.87,2480.09,8
2499.85,2478.26,9
2499.82,2476.5,10
2499.79,2474.79,11
2499.76,2473.13,12
2499.73,2471.51,13
2499.69,2469.92,14
2499.66,2468.37,15
2499.62,2466.86,16
2499.58,2465.37,17
2499.54,2463.91,18
2499.49,2462.47,19
2499.45,2461.05,20
2499.4,2459.66,21
2499.36,2458.29,22
2499.31,2456.93,23
2499.26,2455.6,24
2499.2,2454.28,25
2499.15,2452.97,26
2499.1,2451.68,27
2499.04,2450.41,28
2498.98,2449.15,29
2498.92,2447.9,30
2498.86,2446.66,31
2498.8,2445.44,32
2498.74,2444.22,33
2498.68,2443.02,34
2498.61,2441.83,35
2498.54,2440.65,36
2498.47,2439.47,37
2498.4,2438.31,38
2498.33,2437.16,39
2498.26,2436.01,40
2498.19,2434.87,41
2498.11,2433.74,42
2498.04,2432.62,43
2497.96,2431.51,44
2497.88,2430.4,45
2497.8,2429.3,46
2497.72,2428.2,47
2497.64,2427.12,48
2497.56,2426.04,49
2497.47,2424.96,50
2497.39,2423.89,51
2497.3,2422.83,52
2497.21,2421.77,53
2497.12,2420.72,54
2497.03,2419.68,55
2496.94,2418.64,56
2496.85,2417.6,57
2496.75,2416.57,58
2496.66,2415.54,59
2496.56,2414.52,60
2496.46,2413.51,61
2496.36,2412.49,62
2496.26,2411.49,63
2496.16,2410.48,64
2496.06,2409.48,65
2495.96,2408.49,66
2495.85,2407.5,67
2495.75,2406.51,68
2495.64,2405.53,69
2495.53,2404.55,70
2495.42,2403.57,71
2495.31,2402.6,72
2495.2,2401.63,73
2495.09,2400.67,74
2494.97,2399.71,75
2494.86,2398.75,76
2494.74,2397.8,77
2494.63,2396.84,78
2494.51,2395.9,79
2494.39,2394.95,80
2494.27,2394.01,81
2494.15,2393.07,82
2494.02,2392.13,83
2493.9,2391.2,84
2493.77,2390.27,85
2493.65,2389.34,86
2493.52,2388.42,87
2493.39,2387.49,88
2493.26,2386.57,89
2493.13,2385.66,90
2493,2384.74,91
2492.87,2383.83,92
2492.73,2382.92,93
2492.6,2382.01,94
2492.46,2381.11,95
2492.33,2380.21,96
2492.19,2379.31,97
2492.05,2378.41,98
2491.91,2377.51,99
2491.77,2376.62,100
2491.62,2375.73,101
2491.48,2374.84,102
2491.34,2373.95,103
2491.19,2373.07,104
2491.04,2372.18,105
2490.89,2371.3,106
2490.75,2370.42,107
2490.6,2369.55,108
2490.44,2368.67,109
2490.29,2367.8,110
2490.14,2366.93,111
2489.98,2366.06,112
2489.83,2365.19,113
2489.67,2364.33,114
2489.51,2363.46,115
2489.35,2362.6,116
2489.19,2361.74,117
2489.03,2360.88,118
2488.87,2360.02,119
2488.71,2359.17,120
2488.54,2358.32,121
2488.38,2357.46,122
2488.21,2356.61,123
2488.05,2355.77,124
2487.88,2354.92,125
2487.71,2354.07,126
2487.54,2353.23,127
2487.37,2352.39,128
2487.19,2351.55,129
2487.02,2350.71,130
2486.84,2349.87,131
2486.67,2349.03,132
2486.49,2348.2,133
2486.31,2347.36,134
2486.13,2346.53,135
2485.95,2345.7,136
2485.77,2344.87,137
2485.59,2344.04,138
2485.41,2343.21,139
2485.22,2342.39,140
2485.04,2341.57,141
2484.85,2340.74,142
2484.66,2339.92,143
2484.47,2339.1,144
2484.28,2338.28,145
2484.09,2337.46,146
2483.9,2336.65,147
2483.71,2335.83,148
2483.51,2335.02,149
2483.32,2334.2,150
2483.12,2333.39,151
2482.92,2332.58,152
2482.73,2331.77,153
2482.53,2330.96,154
2482.33,2330.16,155
2482.12,2329.35,156
2481.92,2328.54,157
2481.72,2327.74,158
2481.51,2326.94,159
2481.31,2326.14,160
2481.1,2325.34,161
2480.89,2324.54,162
2480.68,2323.74,163
2480.47,2322.94,164
2480.26,2322.14,165
2480.05,2321.35,166
2479.84,2320.55,167
2479.62,2319.76,168
2479.41,2318.97,169
2479.19,2318.18,170
2478.97,2317.39,171
2478.75,2316.6,172
2478.53,2315.81,173
2478.31,2315.02,174
2478.09,2314.23,175
2477.87,2313.45,176
2477.64,2312.66,177
2477.42,2311.88,178
2477.19,2311.1,179
2476.97,2310.32,180
2476.74,2309.53,181
2476.51,2308.75,182
2476.28,2307.97,183
2476.05,2307.2,184
2475.81,2306.42,185
2475.58,2305.64,186
2475.35,2304.87,187
2475.11,2304.09,188
