simtime, targetX, targetY,  targetZ, currentX, currentY, currentZ
0.25,2094.13,862.02,1124,2099.62,857.27,1122
0.5,2094.13,862.02,1124,2099.62,857.274,1122
0.75,2094.13,862.02,1124,2099.62,857.274,1122
1,2094.13,862.02,1124,2099.61,857.279,1122
1.25,2094.13,862.02,1124,2099.61,857.279,1122
1.5,2094.13,862.02,1124,2099.61,857.283,1122.01
1.75,2094.13,862.02,1124,2099.61,857.283,1122.01
2,2094.13,862.02,1124,2099.6,857.287,1122.01
2.25,2094.13,862.02,1124,2099.6,857.287,1122.01
2.5,2094.13,862.02,1124,2099.6,857.291,1122.01
2.75,2094.13,862.02,1124,2099.6,857.291,1122.01
3,2094.13,862.02,1124,2099.59,857.296,1122.01
3.25,2094.13,862.02,1124,2099.59,857.296,1122.01
3.5,2094.13,862.02,1124,2099.59,857.3,1122.01
3.75,2094.13,862.02,1124,2099.59,857.3,1122.01
4,2094.13,862.02,1124,2099.58,857.304,1122.01
4.25,2094.13,862.02,1124,2099.58,857.304,1122.01
4.5,2094.13,862.02,1124,2099.58,857.308,1122.02
4.75,2094.13,862.02,1124,2099.58,857.308,1122.02
5,2094.13,862.02,1124,2099.57,857.313,1122.02
5.25,2094.13,862.02,1124,2099.57,857.313,1122.02
5.5,2094.13,862.02,1124,2099.57,857.317,1122.02
5.75,2094.13,862.02,1124,2099.57,857.317,1122.02
6,2094.13,862.02,1124,2099.56,857.321,1122.02
6.25,2094.13,862.02,1124,2099.56,857.321,1122.02
6.5,2094.13,862.02,1124,2099.56,857.325,1122.02
6.75,2094.13,862.02,1124,2099.56,857.325,1122.02
7,2094.13,862.02,1124,2099.55,857.33,1122.03
7.25,2094.13,862.02,1124,2099.55,857.33,1122.03
7.5,2094.13,862.02,1124,2099.55,857.334,1122.03
7.75,2094.13,862.02,1124,2099.55,857.334,1122.03
8,2094.13,862.02,1124,2099.54,857.338,1122.03
8.25,2094.13,862.02,1124,2099.54,857.338,1122.03
8.5,2094.13,862.02,1124,2099.54,857.343,1122.03
8.75,2094.13,862.02,1124,2099.54,857.343,1122.03
9,2094.13,862.02,1124,2099.53,857.347,1122.03
9.25,2094.13,862.02,1124,2099.53,857.347,1122.03
9.5,2094.13,862.02,1124,2099.53,857.351,1122.03
9.75,2094.13,862.02,1124,2099.53,857.351,1122.03
10,2094.13,862.02,1124,2099.52,857.355,1122.04
10.25,2094.13,862.02,1124,2099.52,857.355,1122.04
10.5,2094.13,862.02,1124,2099.52,857.36,1122.04
10.75,2094.13,862.02,1124,2099.52,857.36,1122.04
11,2094.13,862.02,1124,2099.51,857.364,1122.04
11.25,2094.13,862.02,1124,2099.51,857.364,1122.04
11.5,2094.13,862.02,1124,2099.51,857.368,1122.04
11.75,2094.13,862.02,1124,2099.51,857.368,1122.04
12,2094.13,862.02,1124,2099.5,857.372,1122.04
12.25,2094.13,862.02,1124,2099.5,857.372,1122.04
12.5,2094.13,862.02,1124,2099.5,857.377,1122.04
12.75,2094.13,862.02,1124,2099.5,857.377,1122.04
13,2094.13,862.02,1124,2099.49,857.381,1122.05
13.25,2094.13,862.02,1124,2099.49,857.381,1122.05
